Month,Usage/CCF,Notes,day_type
9/1/2024,9115.27,MonthlyUsage,weekday
8/1/2024,8164.07,MonthlyUsage,weekday
7/1/2024,7760.81,MonthlyUsage,weekday
6/1/2024,8218.81,MonthlyUsage,weekday
5/1/2024,9636.25,MonthlyUsage,weekday
4/1/2024,10750.61,MonthlyUsage,weekday
3/1/2024,12720.31,MonthlyUsage,weekday
2/1/2024,13809.11,MonthlyUsage,weekday
1/1/2024,17018.16,MonthlyUsage,weekday
12/1/2023,16426.94,MonthlyUsage,weekday
11/1/2023,12685.53,MonthlyUsage,weekday
10/1/2023,10644.26,MonthlyUsage,weekday
9/1/2023,9202.51,MonthlyUsage,weekday
9/1/2024,82426.34,MonthlyUsage,weekday
8/1/2024,83485.25,MonthlyUsage,weekday
7/1/2024,80896.69,MonthlyUsage,weekday
6/1/2024,77869.07,MonthlyUsage,weekday
5/1/2024,84458.37,MonthlyUsage,weekday
4/1/2024,87797.8,MonthlyUsage,weekday
3/1/2024,96295.75,MonthlyUsage,weekday
2/1/2024,96053.88,MonthlyUsage,weekday
1/1/2024,109763.97,MonthlyUsage,weekday
12/1/2023,105060.34,MonthlyUsage,weekday
11/1/2023,90592.44,MonthlyUsage,weekday
10/1/2023,87172.59,MonthlyUsage,weekday
9/1/2023,84095.9,MonthlyUsage,weekday
8/1/2023,85233.09,MonthlyUsage,weekday
7/1/2023,84561.19,MonthlyUsage,weekday
6/1/2023,86150.07,MonthlyUsage,weekday
5/1/2023,93666.01,MonthlyUsage,weekday
4/1/2023,93305.94,MonthlyUsage,weekday
3/1/2023,101775.55,MonthlyUsage,weekday
2/1/2023,99193.58,MonthlyUsage,weekday
1/1/2023,111965.94,MonthlyUsage,weekday
12/1/2022,104143.47,MonthlyUsage,weekday
11/1/2022,90808.8,MonthlyUsage,weekday
